;Подготовка сервера к работе
;Организация защиты персональных данных
85;Обследование здания, помещений, структуры ЛВС и рабочих мест операторов ПД;2000;2000;руб.
;Разработка организационно-распорядительной документации
86;Подготовка описания технологических процессов обработки персональных данных;1500;1500;руб.
87;Составление Перечня ИСПДн;500;500;руб.
88;Составление Перечня персональных данных;600;600;руб.
89;Разработка Приказа и Перечня общедоступных сведений;400;400;руб.
90;Разработка Частной модели угроз;3500;3500;руб.
91;Составление Акта классификации ИСПДн;500;500;руб.
92;Разработка Положения о разграничении прав доступа к обрабатываемым персональным данным;1200;1200;руб.
93;Разработка Инструкции пользователя ИСПДн;400;400;руб.
94;Разработка Инструкции парольной защиты;200;200;руб.
95;Разработка Регламента резервирования и восстановления работоспособности ТС и ПО, СУБД и СЗИ;1000;1000;руб.
96;Составление бланка Акта приема зачета по знанию нормативной базы;200;200;руб.
